t,px,py,vx,vy
3.090000000000000213e+01,3.123026615465412306e+02,1.124664800108812424e+00,1.077185336543369587e+01,-5.278129307346720589e-01
3.100000000000000000e+01,3.133807984243996430e+02,1.071945585126563794e+00,1.079088419173474911e+01,-5.265713704682588592e-01
3.110000000000000142e+01,3.144612470239348454e+02,1.017631819652627723e+00,1.081808779896862482e+01,-5.597039367198773929e-01
3.120000000000000284e+01,3.155445542508924746e+02,9.629004928082094406e-01,1.084805674018465105e+01,-5.349225980476686182e-01
3.130000000000000071e+01,3.166330308849294397e+02,9.077739499846154692e-01,1.092147594055464310e+01,-5.676082584707112799e-01
3.140000000000000213e+01,3.177239617343290092e+02,8.531467568353209296e-01,1.089714104743719680e+01,-5.249356031410510326e-01
3.150000000000000000e+01,3.188132904770422442e+02,7.987923720374152659e-01,1.088943380682719209e+01,-5.621520939896852420e-01
3.160000000000000142e+01,3.198982144374631389e+02,7.387239071069298113e-01,1.080904540159025551e+01,-6.392172041755719292e-01
3.170000000000000284e+01,3.209828041209696607e+02,6.785717328784529601e-01,1.088274826854016375e+01,-5.638262804819492713e-01
3.180000000000000071e+01,3.220738240263113425e+02,6.218700453964252084e-01,1.093764983829400705e+01,-5.702074689564488041e-01
3.190000000000000213e+01,3.231682135364791293e+02,5.637542400545819676e-01,1.095014036506192134e+01,-5.921086377623281383e-01
3.200000000000000000e+01,3.242631034885970394e+02,5.077986617532914693e-01,1.094765867729561926e+01,-5.270029269091122126e-01
3.210000000000000142e+01,3.253615395233907179e+02,4.582076976106517763e-01,1.102106201857767864e+01,-4.648163574047601831e-01
3.220000000000000284e+01,3.264590958578820050e+02,4.109687453985461647e-01,1.093006467124764391e+01,-4.799626851891318768e-01
3.230000000000000426e+01,3.275508216140162858e+02,3.620085162328119943e-01,1.090445045143767011e+01,-4.992418995030720175e-01
3.239999999999999858e+01,3.286430770392204863e+02,3.140053415902832046e-01,1.094065805264599156e+01,-4.608215920032491253e-01
3.250000000000000000e+01,3.297358158143465516e+02,2.680150451858913652e-01,1.091411744987474641e+01,-4.589843390040348470e-01
3.260000000000000142e+01,3.308285459001189679e+02,2.199322068898612315e-01,1.094048426557434972e+01,-5.026724288417584452e-01
3.270000000000000284e+01,3.319253675347114267e+02,1.705991945413868616e-01,1.099594842627461944e+01,-4.839878187415320165e-01
3.280000000000000426e+01,3.330205154375798884e+02,1.226453667007941367e-01,1.090700963109456190e+01,-4.750887380154288353e-01
3.289999999999999858e+01,3.341112988747715349e+02,7.520479712836385111e-02,1.090865911273895783e+01,-4.737226533815596108e-01
3.300000000000000000e+01,3.352022097960900169e+02,2.708615263144730292e-02,1.090955931363088460e+01,-4.886502389400129709e-01
3.310000000000000142e+01,3.362931629358211012e+02,-2.354335729088528201e-02,1.090950348099068457e+01,-5.239399612693520503e-01
3.320000000000000284e+01,3.373842027685104199e+02,-7.500300433011447554e-02,1.091129317279586708e+01,-5.052529755586059323e-01
3.330000000000000426e+01,3.384760553586863239e+02,-1.225875648716478472e-01,1.092575863072193165e+01,-4.464382311418563787e-01
3.339999999999999858e+01,3.395715626406233127e+02,-1.697847571895576557e-01,1.098438700801782453e+01,-4.975056150803830457e-01
3.350000000000000000e+01,3.406715752180761569e+02,-2.197160190609222519e-01,1.101586454103886759e+01,-5.011196202734845562e-01
3.360000000000000142e+01,3.417753749826865146e+02,-2.689980140695328870e-01,1.106013075116785771e+01,-4.845202790893587408e-01
3.370000000000000284e+01,3.428804426067281383e+02,-3.158649835001652306e-01,1.104122172966532567e+01,-4.528191151629715749e-01
3.380000000000000426e+01,3.439818957828377961e+02,-3.614914113511388249e-01,1.098784179252746540e+01,-4.597094422907417322e-01
3.389999999999999858e+01,3.450809356232801974e+02,-4.074036663576238171e-01,1.099295501632132499e+01,-4.585356578564259156e-01
3.400000000000000000e+01,3.461788596857778657e+02,-4.497798916287129023e-01,1.096552623363223766e+01,-3.889888440787739321e-01
3.410000000000000142e+01,3.472750977572027296e+02,-4.913980059722669602e-01,1.095923519486582087e+01,-4.433734420848748914e-01
3.420000000000000284e+01,3.483681748655745309e+02,-5.367978737455922911e-01,1.090230697256985870e+01,-4.646239188555226218e-01
3.430000000000000426e+01,3.494564416159242910e+02,-5.852434438445877074e-01,1.086302803442618981e+01,-5.042874861251939178e-01
