t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
1.350000000000000000e+01,1.312585154186128307e+02,2.731924300567563080e+00,9.779783970216591626e+00,1.040822208939195526e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000142e+01,1.323526219958685601e+02,2.637375576244640474e+00,9.816851155625508696e+00,7.058080388404333605e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.370000000000000107e+01,1.333961913014258300e+02,2.415163560982129809e+00,9.836597593193500799e+00,-2.576292142664513007e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.380000000000000071e+01,1.345380567296516858e+02,2.371198407213837456e+00,9.887083736349635998e+00,-1.652411308287838471e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.390000000000000036e+01,1.355799631247917318e+02,2.555091818015161387e+00,9.904068079924099877e+00,4.271444320845049075e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.366424686558403607e+02,2.598201214936356696e+00,9.927105039123180319e+00,5.512393246850876005e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.410000000000000142e+01,1.376351791597526812e+02,2.603713608183207739e+00,9.927105039123180319e+00,5.512393246850876005e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000107e+01,1.387007382757858522e+02,2.501027720941068289e+00,9.950384483812946712e+00,2.054817580216232453e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.430000000000000071e+01,1.398464733267275903e+02,2.739479938765428724e+00,9.998518748145469814e+00,9.605628121091246141e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.440000000000000036e+01,1.409750070753688078e+02,2.870690042906757000e+00,1.003962009619659668e+01,1.348970887376554628e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000000e+01,1.418638783689926015e+02,2.744411061020901599e+00,1.000284677499127461e+01,9.023876060687036071e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.460000000000000142e+01,1.426804389727036266e+02,2.924225821237503631e+00,9.944103585264960188e+00,1.448467447683092213e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.470000000000000107e+01,1.436756926613536223e+02,3.120034651105968670e+00,9.944373491652021002e+00,2.028792356104455741e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.480000000000000071e+01,1.446001353531285645e+02,3.050865242822899948e+00,9.921944427867975591e+00,1.742135591618091395e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.490000000000000036e+01,1.456525816760893690e+02,3.174407735683892895e+00,9.941279102347097663e+00,2.082675609997118316e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.467005163402064625e+02,3.195424896387909275e+00,9.958573136874520060e+00,2.083287589638882498e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.510000000000000142e+01,1.477426665922583027e+02,3.211246979853638273e+00,9.973477932924819100e+00,2.067154494210484139e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.520000000000000107e+01,1.486315861205807209e+02,3.213358474210662674e+00,9.938503511661988199e+00,2.007287537195056315e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.530000000000000071e+01,1.496540972250370487e+02,3.196889417100858388e+00,9.947765944296383722e+00,1.889193227350286775e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.540000000000000036e+01,1.507705019435190366e+02,3.097519841383209904e+00,9.987150188243898441e+00,1.506252183359518548e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.550000000000000000e+01,1.518079721486147946e+02,3.054011653044535812e+00,9.999724408301496226e+00,1.316218004842378275e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.560000000000000142e+01,1.529135754338758204e+02,3.157374515099135248e+00,1.003406498338984498e+01,1.609460315849461087e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.570000000000000107e+01,1.538349803850876185e+02,3.231074135920794621e+00,1.000735340571667287e+01,1.797105666160637993e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.580000000000000071e+01,1.551613812487243251e+02,3.030097729111106641e+00,1.011364484555121734e+01,1.082500051127892049e-01,0.000000000000000000e+00,0.000000000000000000e+00
